Sr_No,Location_Coordinates,Hospital_Name,District,Address_First_Line,State,Pincode,Telephone,,,
5293,"22.9961698, 72.5995843",Ahmedabad Medical Centre,Ahmedabad,"Vinya Arcade, Nr, Jain Derasar, Maninagar",Gujarat,380008,0,,,
5294,"22.9990133, 72.593244",Akshar Surgical Hospital,Ahmedabad,"2Nd Floor, Vidita Avenue, Nr Jayhind Char Rasta,Maninagar",Gujarat,380008,079  25454614,,,
5295,"22.9907698, 72.6070676",Ansuya General Hospital,Ahmedabad,"4, Daxini Society Maninagar",Gujarat,380008,79  25465764,,,
5296,"23.0215374, 72.5800568",Arpan Hospital,Ahmedabad,"4/A,Everest Park,Gordhanwadi Cross Road,Kankaria",Gujarat,380008,0,,,
5297,"22.9973381, 72.6080444",Ashirwad Children and Eye Hospital,Ahmedabad,"2Nd Floor, Mahalaxmi Mkt. No.1, Maninagar Char Rasta",Gujarat,380008,0,,,
5298,"23.0215374, 72.5800568",Aum Intensive Care Unit,Ahmedabad,"Punit Marg, Nr Over Bridge",Gujarat,380008,"25467145,",,,
5299,"23.0215374, 72.5800568",Babycare Childre Hospital and Neonatal Centre,Ahmedabad,"B-1, Shripal Comm,Centre Hatkeshwar Circle , Khokhare",Gujarat,380008,0,,,
5300,"23.0215374, 72.5800568","Better Health Pvt. Ltd"" Pallav Hospital""",Ahmedabad,"Near Old Railway Crossing, Maninagar",Gujarat,380008,079  22720540,,,
5301,"23.0215374, 72.5800568",Body Care Orthopaedic and Trauma Hospital,Ahmedabad,"Opp Mehsana Soc, Nava Wadaj Road",Gujarat,380008,"27643370, 27641815",,,
5302,"22.9990133, 72.593244",Dalal Surgical Nursing Home,Ahmedabad,"18, Panchavati Society, Jayhind Char Rasta, Maninagar",Gujarat,380008,0,,,
5303,"22.991032, 72.6145555",Daxini Orthopaedic Hospital,Ahmedabad,"Nr. Daxini Bus Stop, Maninagar",Gujarat,380008,30428809,,,
5304,"22.9961698, 72.5995843",Dr Dave Subhash Gajanan Nursing Home,Ahmedabad,"Ram Nivas,Near Mahadev,Maninagar",Gujarat,380008,25463118,,,
5305,"22.9961698, 72.5995843",Dr Sunil Shah's Eye Hospital,Ahmedabad,"2, Mohil Apartment Opp: Jalaram Plaza, Jawahar Chowk Maninagar",Gujarat,380008,079    25462847,,,
5306,"22.9961698, 72.5995843",Dr. Abhay K Shah Children,Ahmedabad,"5, Mehta Appartments, Near Radhavallabh Mandir Maninagar",Gujarat,380008,0,,,
5307,"23.0215374, 72.5800568",Dr. Ashish B. Dave,Ahmedabad,"2Nd Floor, Aakash Complex, Opposite Bhagawan Chambers,Near Gopal Tower, Station Road",Gujarat,380008,079  25469195,,,
5308,"23.0215374, 72.5800568",Dr. Kaushik Vaidhya Medical Nursing Home,Ahmedabad,"D-1, Medical Complex, Nr. Chandani Appts., Sola Road",Gujarat,380008,"27439100, 27454586",,,
5309,"22.9961698, 72.5995843",Dr. Paresh Bhatt,Ahmedabad,"First Floor, Satyam Complex, Opposite Railway Station, Maninagar",Gujarat,380008,32911708,,,
5310,"21.6044742, 71.2237432",Dr. Shurti Ent Hospital,Ahmedabad,"2Nd Floor Akash Compelx,Maninagar Station Road",Gujarat,380008,0,,,
5311,"23.0215374, 72.5800568",Gayatri Multi Super Speciality Hospital,Ahmedabad,"14, Harihar Soc, Opp Swaminarayan Vadi",Gujarat,380008,"25460532, 25450707",,,
5312,"23.0215374, 72.5800568",Gold Shield Health Care Pvt Ltd,Ahmedabad,"208/9, Heritage Plaza, Opp Gurukul Temple, Drive-In Road",Gujarat,380008,0,,,
5313,"23.0215374, 72.5800568",Gopal Children Hospital and Nursing Home,Ahmedabad,"Vasupujya Complex, Opp Lic Building, Jivraj Road",Gujarat,380008,"55455545, 26645545, 9825162345",,,
5314,"23.0215374, 72.5800568",Harshil Medical Nursing Home,Ahmedabad,"D-5/6, Medical Complex, Nr Chandani Appt, Naranpura Tele Exchange Road, Sola Road",Gujarat,380008,"27489349, 9426083031",,,
5315,"23.059562, 72.558009",Harsiddh Hospital,Ahmedabad,"M-5, Block No 1/1, Shastrinagar, Ankur Road",Gujarat,380008,"27471212, 9825442525",,,
5316,"23.0215374, 72.5800568",Healing Hands Hospital,Ahmedabad,"Dhanlaxmi Complex, 2Nd Floor, Nr Jivrajpark Bus Stop",Gujarat,380008,0,,,
5317,"22.9961698, 72.5995843",Kamal Hospital,Ahmedabad,"5, Raman Nagar, Opp Swaminarayan Wadi , Maninagar",Gujarat,380008,0,,,
5318,"22.9961698, 72.5995843",Kothari Onco Surgical Hospital,Ahmedabad,"Sakar Complex, First Floor, Maninagar",Gujarat,380008,0,,,
5319,"23.0215374, 72.5800568",Krishna Medical Hospital,Ahmedabad,"1St Floor, Satyam Complex, Opp Railway Station",Gujarat,380008,0,,,
5320,"22.999043, 72.6244824",Kunal Medical Hospital,Ahmedabad,"C/101,Shreepal Commercial Center,Hatkeshwar Circle,Khokhara",Gujarat,380008,"079  25851839, 30227089",,,
5321,"22.9961698, 72.5995843",Lavingia Orthopedic Hospital,Ahmedabad,"E/ Lincon Apt, Opposite Kamala Nehru Garden ,Near Jayhind School , Opposite Uttamnagar Water Tank ,Maninagar",Gujarat,380008,0,,,
5322,"23.0215374, 72.5800568","Le Bonheur Diabetes, Thyroid And Endocrine Centre",Ahmedabad,"19 Brahman Matramandal Society, Nr. Jalaram Mandir Railway Crossing Ellisbridge",Gujarat,380008,0,,,
5323,"22.9961698, 72.5995843",Manoramya Children Hospital and Neonatal Centre,Ahmedabad,"Wapna Complex Jawahar Chowk, Maninagar",Gujarat,380008,25464418,,,
5324,"23.0215374, 72.5800568",Netradeep Eye Hospital Pvt Ltd,Ahmedabad,"32, Asmita Society,Nr: Kashi Vishwanath Temple,Nr:Rly Crossing",Gujarat,380008,0,,,
5325,"23.0215374, 72.5800568",Netr-The Eye Care Clinic,Ahmedabad,"Nr:Gurukrupa School,Ramrol Road",Gujarat,380008,0,,,
5326,"22.9961698, 72.5995843",Nilkanth Hospital,Ahmedabad,2 Kumar Flats Nr Indian Society Maninagar,Gujarat,380008,0,,,
5327,"23.0215374, 72.5800568",Niramay Multi Speciality Hospital,Ahmedabad,"C/101, Shreepal Commercial Centre, Hatkeshwar Circle",Gujarat,380008,0,,,
5328,"23.0215374, 72.5800568",Palak Eye Hospital,Ahmedabad,"7, Shiv Nandan Avenue, Maninagar, Radhavallabh Mandir",Gujarat,380008,0,,,
5329,"23.0215374, 72.5800568",Pallav Jm Desai Memorial Hospital(Better Health Pvt Ltd),Ahmedabad,Alanlar Complexnear Old Rly Crossing Mani Nagar(East),Gujarat,380008,"079    22720540, 30472932, 65247777",,,
5330,"23.0191883, 72.5322339",Parimal Hospital,Ahmedabad,"Punit Marg, Near Overbridge, Maninagar",Gujarat,380008,"079  65135008, 25467145",,,
5331,"23.0215374, 72.5800568",Raghuvir Eye Hospital,Ahmedabad,"204, Pramukh Papace, Jaihind Crose Road, Maninagar",Gujarat,380008,79  25470900,,,
5332,"23.0215374, 72.5800568",Ratan Deep Surgical And Endoscopy Clinic,Ahmedabad,Nakshatra Ii Nd Floor Near Ganesh Gali Mani Nagar Cross Roads,Gujarat,380008,"25465119, 65255678",,,
5333,"22.9979201, 72.6098255",Ravi Surgical Hospital,Ahmedabad,Gopal Tower Maninagar,Gujarat,380008,079    25463679,,,
5334,"22.9961698, 72.5995843",Riddhi Medical Nursing Home,Ahmedabad,"A-101, Jalaram Plaza, Jawahar Chowk, Maninagar",Gujarat,380008,079  65237760,,,
5335,"22.9961698, 72.5995843",Sangini Bone And Joint Clinic,Ahmedabad,Maninagar,Gujarat,380008,0,,,
5336,"23.0215374, 72.5800568",Sardar Hospital,Ahmedabad,"Sardar Patel Moll,Nikol Gam Road , N. H -8 (East)",Gujarat,380008,22701000  22705000,,,
5337,"22.9972835, 72.5995933",Shashvat Child Care,Ahmedabad,"# 304, Saffron-1, Jagubhai Park, Rambaug, Maninagar,",Gujarat,380008,0,,,
5338,"22.9961698, 72.5995843",Sheth Lallubhai Gorthandas General Hospital,Ahmedabad,Maninagar,Gujarat,380008,0,,,
5339,"22.992081, 72.6173344",Shivam Medical Hospital,Ahmedabad,"C-4,Satyanarayan Society,Gor No Kuvo,Near Jasodanagar Cross Road,Maninagar (East )",Gujarat,380008,"079  25835830, 65231538",,,
5340,"23.0215374, 72.5800568",Shlok Medical and Heart Hospital,Ahmedabad,"Ground Floor, Suvandana Apartment, Nr. Yamunaji Haveli, Maninagar-Isanpur Road, Bhaduvat Nagar",Gujarat,380008,079  25390332,,,
5341,"22.9961698, 72.5995843",Shri J.S.Mehta Children Hospital and Neonatal Centre,Ahmedabad,"Shivam, Jagabhai Park, Maninagar",Gujarat,380008,0,,,
5342,"22.9961698, 72.5995843",Shri Sati Ansuya Hospital,Ahmedabad,"Daxini Society, Near Goodluck Sindhi Hall,Maninagar",Gujarat,380008,0,,,
5343,"23.0215374, 72.5800568",Shrreeji Surgical Hospital,Ahmedabad,"1St Floor , Shreepal Comm.Centre , Hatkeshwar Circle ,Khokhra",Gujarat,380008,0,,,
5344,"23.0215374, 72.5800568",Shruti Ent Hospital,Ahmedabad,"2, Akash Complex, Opp:Bhagwan Chambeers, Maninagar, Ah, Medabad",Gujarat,380008,0,,,
5345,"22.9947787, 72.6038517",Siddhi Vinayak Hospital,Ahmedabad,"Nr. Jaldhara Water Park , Balvatika, Kankaria Maninagar",Gujarat,380008,0,,,
5346,"23.0011029, 72.6089563",Sukrut Orthopaedic Hospital,Ahmedabad,"Nr. Prakash Nagar Bus Stop, Jawahar Chowk Road, Maninagar",Gujarat,380008,0,,,
5347,"22.9990133, 72.593244",Synergy Neonatal and Pediatric Centre,Ahmedabad,"2Nd Floor, Dev Darshan Complex, Jaihind Char Rasta, Maninagar",Gujarat,380008,079  25470266,,,
5348,"23.0460366, 72.5511327",Tejal Eye Hospital And Phaco Surgery Clinic,Ahmedabad,"Gokul Complex, Char Rasta Maninagar",Gujarat,380008,0,,,
5349,"22.9973389, 72.5987432",Tr Memorial Hospital,Ahmedabad,"4Th Floor, Shivani Avenue B/H Javahar Chowk Bus Stop, Bhairavnath Road, Maninagar",Gujarat,380008,"079    25460116, 25460117,",,,
5350,"23.0215374, 72.5800568",Unity Multispeciality Hospital,Ahmedabad,"13, Nilamkunj Society, Mira Char Rasta, Shah-E-Alam Road, Shah-E-Aalam",Gujarat,380008,0,,,
5351,"22.9973381, 72.6080444",V and M Orthopaedic Centre,Ahmedabad,"Kamal Apartments, Near Bank Of Baroda, Maninagar Char Rasta",Gujarat,380008,0,,,
5352,"23.0017237, 72.6183117",Vivek Children Hospital,Ahmedabad,"Ami-Ganga Complex, Khokhara Circle, Khokhara",Gujarat,380008,079    22771818,,,
5353,"22.9991066, 72.616569",Yogiji Medical Hospital,Ahmedabad,"1St Floor, Shreepal Commercial Centre, Six Ways, Khokhara",Gujarat,380008,0,,,
5354,"23.0420922, 72.5695801",Aalok Hospital,Ahmedabad,Ashram Road,Gujarat,380009,0,,,
5355,"23.0215374, 72.5800568",Advanced Fertility and Endoscopic Centre,Ahmedabad,"4Th Floor, Adit Medical Centre, B/H, Swastik House Near Income Tax Under Bridge",Gujarat,380009,"079  26563242, 26563292",,,
5356,"23.0215374, 72.5800568",Amdawad Eye Laser Hospitals Pvt Ltd,Ahmedabad,"No. 205, Vraj Avenue, Near St. Xaviers Ladies Hostel, Navarangpura",Gujarat,380009,079    26560885 / 26560948,,,
5357,"23.0365437, 72.5611395",Anamay Eye Hospital - Ahmedabad,Ahmedabad,"Off. C. G. Road, Near President Hotel, Opposite Mahalya Building, Navrangpura",Gujarat,380009,26409090/ 32912322,,,
5358,"23.0425151, 72.562583",Arpan Newborncare Centre,Ahmedabad,"2Nd Floor, Ishwar Building, Op. Guj. Sports Club, Stadium Road, Navrangpura",Gujarat,380009,26461475,,,
5359,"23.0365437, 72.5611395",Astha Kidney And Laparoscopy Hospital,Ahmedabad,"3Rd Floor,Adit Medical Centre Navrangpura",Gujarat,380009,"079    26564260, 26564270",,,
5360,"23.0365437, 72.5611395",Banker`S Retina Clinic and Laser Centre,Ahmedabad,"5 Subhash Society, Behind Ishwar Bhuvan, Near H.L. Commerce College Six Roads, Navrangpura",Gujarat,380009,0,,,
5361,"23.0215374, 72.5800568",Chaturbhai Mavawala Kidney Hospital and Laparoscopic,Ahmedabad,"25, Suhasnagar Society, B/H. Swastik Super Market, Nr. Dinesh Hall, Ashram Road",Gujarat,380009,26580064,,,
5362,"23.0403714, 72.5541475",Cheers Interventional Pain Management,Ahmedabad,"405 Swapneel-5,H.L.Commerce College Circle, Navrangpura",Gujarat,380009,0,,,
5363,"23.0215374, 72.5800568",Desai Eye Hospital and Laser Center,Ahmedabad,"2Nd Floor, Anand Building, OppositeShilp' Next To S.B.I, C.G. Road",Gujarat,380009,0,,,
5364,"23.0215374, 72.5800568",Dipan M Desai Nursing Home,Ahmedabad,Ii Nd Floor Anand Bld Opp Shilp C G Road,Gujarat,380009,0,,,
5365,"23.0215374, 72.5800568",Dr K J Vaidya,Ahmedabad,"A-1, Ujjaval Appt, Vijay Char Rasta",Gujarat,380009,0,,,
5366,"23.0215374, 72.5800568",Dr Maulik H Banker,Ahmedabad,"B/H Shah Aliji Dargah, Khamasa Chakla",Gujarat,380009,0,,,
5367,"23.0215374, 72.5800568",Dr Rajiv Thakore,Ahmedabad,"32/A, Suvidha Shopping Centre, Nr Bus Stand",Gujarat,380009,0,,,
5368,"23.0215374, 72.5800568",Dr Vinod Patel Eye Hospital,Ahmedabad,"Navrang Super Market, OppositeNavrangpura Bus Stop",Gujarat,380009,0,,,
5369,"23.0365437, 72.5611395",Dr. Devendra Patel Nursing Home,Ahmedabad,"Umalaya, Swastic Society, Navrangpura",Gujarat,380009,0,,,
5370,"23.0399849, 72.5636698",Dr. Kandarp P. Parikh (Shyam Urosurgical Hospital),Ahmedabad,"3Rd Floor, Royal House, Nr. Golden Triangle, Sardar Patel Stadium Road, Navrangpura",Gujarat,380009,0,,,
5371,"23.0365437, 72.5611395",Dr. Mahendra Naik,Ahmedabad,"Adit Medical Centre, Behind Hindustan Garage, Nr. High Court Rly Crossing, Navrangpura",Gujarat,380009,0,,,
5372,"23.0365437, 72.5611395",Dr. Malay D. Patel Hospital,Ahmedabad,"90-B, Swastik Society, Nr Swastik Cross Roads, Navrangpura.",Gujarat,380009,0,,,
5373,"23.03285, 72.562613",Dr. Rajendra C. Patel Orthopaedic Nursing Home,Ahmedabad,"7, Rashmi Society, Mithakhali, Navrangpura",Gujarat,380009,0,,,
5374,"23.0365437, 72.5611395",Dr. Suresh K. Bhanshali,Ahmedabad,"304, Narayan Complex, Opp,Havmor Restaurant Nr. Navrangpura",Gujarat,380009,0,,,
5375,"23.0215374, 72.5800568",Dr. Viren A. Shah Sukhmani Hospital,Ahmedabad,"Nr, Kandoi Bhogilal Mulchand, Off, Ashram Road",Gujarat,380009,0,,,
5376,"23.0215374, 72.5800568",Jagmohan Hospital,Ahmedabad,"14/B, Hindu Colony, Opp Sardar Patel Stadium",Gujarat,380009,0,,,
5377,"23.0365437, 72.5611395",Jaju Plastic Surgery Center,Ahmedabad,"Nr. Somlalit School, Behind Hindu Colony, Stadium,Navrangpura",Gujarat,380009,0,,,
5378,"23.0215374, 72.5800568",Jigisha Maternity and Nursing Home,Ahmedabad,"Nr Amco Bank, Punjabi Hall Lane, Stadium Circle",Gujarat,380009,0,,,
5379,"23.022505, 72.5713621",Kadam Maternity Home,Ahmedabad,Nr Ramvadi Bus Stop,Gujarat,380009,0,,,
5380,"23.022505, 72.5713621",Kanoria Hospital and Research Centre,Ahmedabad,"Ff, Shashwat Complex",Gujarat,380009,0,,,
5381,"23.0425151, 72.562583",Karma Stone Clinic And Lithotripsy Centre Private,Ahmedabad,"Basement, Shrey Hospital, Nr. Punjabi Hall, B/H Navrangpura Bus-Stop, Near Stadium Circle, Navrangpura",Gujarat,380009,0,,,
5382,"23.0215374, 72.5800568",Life Care Institute Of Medical Sciences and Research Pvt Ltd,Ahmedabad,"Vraj Avenue, Nr St Xavier Ladies Hostel, Off Swastik Cross Roads",Gujarat,380009,0,,,
5383,"23.0215374, 72.5800568",Medi- Surge Associates Pvt. Ltd,Ahmedabad,"Medi Surge Hospitals, 1, Maharashtra Society, Opposite Lions Hall, Mathikhali Six, Raods, Ellisbridge",Gujarat,380009,0,,,
5384,"23.0215374, 72.5800568",Mehta Hospital,Ahmedabad,"57, Brahmin Mitra Mandal Society Near Jayaram Mandir Paldi",Gujarat,380009,0,,,
5385,"23.0578255, 72.5495996",Modi Eye Care,Ahmedabad,"No. 3, Jaymangal Society,Off 132 Feet Ring Road,Naranpura",Gujarat,380009,0,,,
5386,"23.0358364, 72.5151678",Nanavati Eye Hospital Pvt. Ltd,Ahmedabad,"4, Pavan Apartment, Navarangpura",Gujarat,380009,0,,,
5387,"23.0215374, 72.5800568",Narayana Hrudayalaya Health City,Ahmedabad,"Narayana Pvt.Ltd, Close To Monogram Mill Compound, Opposite Rakhrayl Police Station, Rakhrayl",Gujarat,380009,0,,,
5388,"23.0215374, 72.5800568",Nayan Jyot Dr. P.L. Desai Eye Centre,Ahmedabad,"Netra Chikitsalaya-Anamay,Off.C.G.Rd, Chhatralaya Road, OppositeMahalaya Bldg",Gujarat,380009,0,,,
5389,"23.0445355, 72.5490158",New Shalby Orthopaedic and Research Center,Ahmedabad,"6-Rupam Society , Navrangpura",Gujarat,380009,0,,,
5390,"23.0569687, 72.5574046",Nidhi Eye Hospital,Ahmedabad,"54,Shraddhadip Complex, ,Ankur Road, Shastrinagar,Naranpura",Gujarat,380009,0,,,
5391,"23.0376085, 72.558612",Nidhi Hospital,Ahmedabad,"Shreekunj, Patel Park, Stadium Commerce College Road, Navrangpura",Gujarat,380009,0,,,
5392,"23.0549589, 72.5493202",Panchal Urology Centre,Ahmedabad,Opp Memnagar Fire Station Vijay Char Rasta Navrangpura,Gujarat,380009,0,,,
5393,"23.0492974, 72.5619754",Pramukh Neurosurgical Hosptial,Ahmedabad,"45, Hindu Colony, Nr Stadium Circle, Navrangura",Gujarat,380009,0,,,
5394,"23.0365437, 72.5611395",Pulse Women's Hospital Pvt. Ltd.,Ahmedabad,"108, Swastik Society ,B/H. St. Xavier's Ladies Hostel Navrangpura",Gujarat,380009,0,,,
5395,"23.0215374, 72.5800568",R. Tolat Eye Clinic,Ahmedabad,"1, Jinvihar, Above Sbi, Nr Suvidha Shopping Centre, Paldi",Gujarat,380009,0,,,
5396,"23.0376085, 72.558612",Rangshree Clinic,Ahmedabad,"302 Zodiac Plaza, St. Xavier`S College Corner, Hl Commerce College Road, Navrangpura",Gujarat,380009,0,,,
5397,"23.0215374, 72.5800568",Sahjanand Eye Care Hospital,Ahmedabad,"4Th Floor,Dolly Complex,Near Vipul Dudhiya,Stadium Cross Roads",Gujarat,380009,0,,,
5398,"23.0365437, 72.5611395",Samdev Urology and Surgery Clinic,Ahmedabad,"Second Floor, Near Sopan Flats, Navrangpura",Gujarat,380009,0,,,
5399,"23.0348708, 72.5663963",Samved Orthopaedic Hospital,Ahmedabad,Near Sopan Flats On Stadium Circle To Commerce College Six Road Navrangpura,Gujarat,380009,0,,,
5400,"23.0365437, 72.5611395",Samved Urology and Surgery Clinic,Ahmedabad,"Second Floor, Near Sopan Flats, Navrangpura",Gujarat,380009,0,,,
5401,"23.0215374, 72.5800568",Sanjivani Eye Hospital and Phaco Centre,Ahmedabad,"301, Soham Complex, Navrang 6Th Road, Navrangpura, Opp Navrang School",Gujarat,380009,0,,,
5402,"23.0365437, 72.5611395",Santosh Eye Hospital,Ahmedabad,"No. 31, Govt Hsg Society, Near Navrangpura Municipal Market",Gujarat,380009,0,,,
5403,"23.0387991, 72.5679062",Satya Medical Center,Ahmedabad,"Behind Old High Court , Navrangpura",Gujarat,380009,0,,,
5404,"23.0365437, 72.5611395",Saviour Annexe Hospital,Ahmedabad,"Off Ashram Road,B/H Sales India,Nr.Kandoi Bhogilal Mulchand,Navrangpura",Gujarat,380009,0,,,
5405,"23.0215374, 72.5800568",Shantilal Parikh Hospital and Check Up Clinic,Ahmedabad,Near Dinesh Hall Ashram Road,Gujarat,380009,0,,,
5406,"23.0425151, 72.562583",Shrey Hospital Pvt. Ltd.,Ahmedabad,"270/B/5, Near Amco Bank, Stadium Circle, Navrangpura",Gujarat,380009,0,,,
5407,"23.0215374, 72.5800568",Shri Rang Hospitaland Research Centre,Ahmedabad,"3Rd Floor,Medicare Building, B/H.M.J. Library, Ashram Road",Gujarat,380009,0,,,
5408,"23.0215374, 72.5800568",Shushrusha Navneet Memorial Hospital,Ahmedabad,"Nr. Sardar Patel Samaj Sevahall, Opp Navrangpura Telephone Exchange",Gujarat,380009,0,,,
5409,"23.0365437, 72.5611395",Sukhmani Hospital / Saviour Annexe Hospital,Ahmedabad,"Off'ashram Road,Near Kandoibhogilal Mulchand,Dinesh Hall Navrangpura",Gujarat,380009,0,,,
5410,"23.0215374, 72.5800568",Sumved Medicare,Ahmedabad,"On Stadium Circle To Commerce College Six Roads, Navrangpura-09",Gujarat,380009,0,,,
5411,"23.0360548, 72.5610286",Super Surgical Hospital,Ahmedabad,"Anamay Building, Nr. Hotel President,Swastik Char Rasta,C.G.Road,Navrangpura",Gujarat,380009,0,,,
5412,"38.9906657, -77.026088",The Holistic Medical Centre Ayulink Ayurveda Hospital,Ahmedabad,"Silver Spring, B/H Xavier's Ladies Hostel, Navrangpuram",Gujarat,380009,0,,,
5413,"23.0376631, 72.5606882",Umalay,Ahmedabad,"90-B,Swasthik Society,Navrangpura",Gujarat,380009,0,,,
5414,"23.0376085, 72.558612",Vedanta Institute Of Medical Sciences,Ahmedabad,"2Nd Floor, Vedanta, Stadium Commerce College Road, Navrangpura",Gujarat,380009,0,,,
5415,"23.0425151, 72.562583",Welcare Speciality Hospital,Ahmedabad,"3Rd Flr Royal House,Nr. Golden Triangal. Stadium Road, Navrangpura",Gujarat,380009,0,,,
5416,"23.0551934, 72.5585003",Aarambh Heart and Medical Hospital,Ahmedabad,"202-203, Aarambh Complex,Near Ankur Bus Stop, Naranpura",Gujarat,380013,0,,,
5417,"23.0215374, 72.5800568",Aash Arthroscopy Centre - Ahmedabad,Ahmedabad,"Sonal Nursing Home, , In Opposite Lane Of Jalaram Mandir, Paldi",Gujarat,380013,0,,,
5418,"23.0215374, 72.5800568",Aash Surgical Hospital,Ahmedabad,"1St Floor, Subhlaxmi Complex, Opposite Sanghvi School Naran Pura",Gujarat,380013,0,,,
5419,"23.0215374, 72.5800568",Adarsh Hosptial,Ahmedabad,"#6, Ambika Society, Near Vidhya Nagar High School, Ushmanpura",Gujarat,380013,0,,,
5420,"23.0672281, 72.5665072",Ami-Sagar Hospital,Ahmedabad,"3-4, Nildhara, Opp Vyas Wadi Nava Wadaj",Gujarat,380013,0,,,
5421,"23.0520412, 72.5601436",Anand Eye Hospital,Ahmedabad,"6, Shrenik Society, Naranpura Char Rasta",Gujarat,380013,0,,,
5422,"23.0215374, 72.5800568",Anand Medical and Heart Hospital,Ahmedabad,"25, Janta Chambers, Nr Saijpur Tower, Naroda Road",Gujarat,380013,0,,,
5423,"23.059562, 72.558009",Aneri Orthopaedic and Maternity Hospital,Ahmedabad,"M/5/11/81, Shastri Nagar, Ankur Road, Naranpura",Gujarat,380013,0,,,
5424,"23.0551934, 72.5585003",Ankur Superspeciality Hospital,Ahmedabad,"A/3,4,Vijay Tower, Ankur Comm.Complex, Above Kalupur Comm.Bank, Ankur Cross Road, Ankur, Naranpura",Gujarat,380013,0,,,
5425,"23.0215374, 72.5800568",Arambh Heart and Medical Hospital,Ahmedabad,"3/B, Hasmukh Colony, Nr Vijaynagar Petrol Pump",Gujarat,380013,0,,,
5426,"23.0215374, 72.5800568",Arihant Burns And Plastic Surgery Hospital,Ahmedabad,"20-A, Shantinagar Society, Opposite St Laurn Hotel, Nr Azad Sweets Street, Usmanpura",Gujarat,380013,0,,,
5427,"23.0569687, 72.5574046",Asha Maternity Hospital,Ahmedabad,"113,Abhishek Complex, 1St Floor, Nr. Kameshwar Mahadev, Ankur Road, Naranpura",Gujarat,380013,0,,,
5428,"23.0215374, 72.5800568",Ashadeep Maternity and Nursing Home,Ahmedabad,"2Nd Floor, Austmangal Complex, Nr Rajasthan Hospital",Gujarat,380013,0,,,
5429,"23.0215374, 72.5800568",Ashirwad Surgical Hospital,Ahmedabad,"1St Floor, Sanjeevani Complex, OppositeMehsana Society, Nava Vadaj Road",Gujarat,380013,0,,,
5430,"23.0215374, 72.5800568",Astha Heart-Care and Medical Hospital,Ahmedabad,"Shashi Shopping Centre, Nr Anjali Cinema",Gujarat,380013,0,,,
5431,"23.0215374, 72.5800568",Atithi Gokul National Relief Foundation - J J Hospital,Ahmedabad,"1, Neeldhara, Opp Vyas Wadi",Gujarat,380013,0,,,
5432,"23.0215374, 72.5800568",Auro Ent Hospital,Ahmedabad,"Sanjeevani Complex,Opposite Mehsana Society Nava Wadaj Road, Vadaj",Gujarat,380013,0,,,
5433,"23.0473095, 72.5589466",Bhadra Clinic Hospital,Ahmedabad,"1/2, Meghalay Flat, Nr Sardar Patel Colony, Naranpura",Gujarat,380013,0,,,
5434,"23.0215374, 72.5800568",Body Care Medical Centre,Ahmedabad,"5, Body Care Medical Centre, Opposite Old Wadaj Bus Stop,Ashram Road",Gujarat,380013,0,,,
5435,"23.0540244, 72.5720102",Bodycare Orthopaedic and Trauma Hospital,Ahmedabad,"301, 302 3Rd Floor, Bodycare Complex",Gujarat,380013,0,,,
5436,"23.2599333, 77.412615",Bopal Multi Speciality Hospital,Ahmedabad,"First Floor, Abhinandan Complex, Opposite Inductotherm Factory, Bopal",Gujarat,380013,0,,,
5437,"23.0215374, 72.5800568",Center For Knee Surgery,Ahmedabad,"8-9, Nildhara Complex, Opp Vyas Wadi",Gujarat,380013,0,,,
5438,"23.0602149, 72.5766759",Deep-Dhara Nursing Home,Ahmedabad,"29, Shantinagarsoc., Old Vadaj",Gujarat,380013,0,,,
5439,"23.0215374, 72.5800568",Devasya Multi Super Speciality Hosp and Res Centre,Ahmedabad,"3, Panchalnagar, Society, Opp Mehsana Society, Nava Vadaj Road, Near Bhimjipura Cross Road Vadaj",Gujarat,380013,0,,,
5440,"23.0543323, 72.545606",Devi Hospital,Ahmedabad,"44/517, Chitrakut Appt.,Opposite Ioc Petrol Pump, Sola Road, Naranpura",Gujarat,380013,0,,,
5441,"23.0215374, 72.5800568",Dr. Anil V. Patel Eye Hospital,Ahmedabad,"# 1, Nildhara Appt., Opposite Vyas Vadi, Nava Vadaj",Gujarat,380013,0,,,
5442,"23.0602149, 72.5766759",Dr. Manish Ravals Hospital,Ahmedabad,"5Th Floor, Bodycare Medical Centre, Juna Wadaj",Gujarat,380013,0,,,
5443,"23.0551934, 72.5585003",Dr. Saurabh Shah Orthopaedic Hospital,Ahmedabad,"3B, Hasmukh Colony, Nr. Vijay Nagar Petrol Pump, Vijay Nagar Road, Naranpura",Gujarat,380013,0,,,
5444,"23.0215374, 72.5800568",Dr. Shakuntala Shah/ Dr. Viren Shah,Ahmedabad,6. Laxminarayan Society Behind Bank Of Baroda Usamanpur,Gujarat,380013,0,,,
5445,"23.0215374, 72.5800568",Dr. Virbala Zaveri Nursing Home,Ahmedabad,"Luv Kush, 12 Bandhu Samaj Society, Gandhinagar Marg., Usmanpura",Gujarat,380013,0,,,
5446,"23.0215374, 72.5800568",Gayatri Childrens Hospital,Ahmedabad,Suryarani Complex Akhbar Nagar Cross Road Navavadaj,Gujarat,380013,0,,,
5447,"23.0215374, 72.5800568",Gayatri Heart And Medical Hospital,Ahmedabad,"Chakravrti Complex, Opposite Kiral Park, Bhimjipura",Gujarat,380013,0,,,
